dataset,probe_variant,condition,layer,strength,signed_strength,prompt_idx,question,immediate,long_term,prompt,continuation,parsed_letter,parsed_semantic,parse_method,fallback_used,score_a,score_b,raw_vector_norm,steering_vector_norm
explicit_test,mm,steer_immediate,36,2.0,-2.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,2.0,-2.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,2.0,-2.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,2.0,-2.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,2.0,-2.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,4.0,4.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,4.0,-4.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.

",A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,63.567745208740234,1.0
explicit_test,mm,steer_long_term,36,8.0,8.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,63.567745208740234,1.0
explicit_test,mm,steer_immediate,36,8.0,-8.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,63.567745208740234,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,0.0,0.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,0.0,-0.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,1.0,1.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,1.0,-1.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,2.0,2.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,2.0,-2.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"Your options are (A) Faster results with less durability and (B) Slower results with more durability.
If forced to choose, pick:", (A) or (B,A,choose_immediate,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"Your options are (B) This moment matters most and (A) History will be the judge.
The perspective to adopt:", The question requires a choice between,A,choose_long_term,ab_logit_fallback,True,15.5703125,13.1171875,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"Your options are (B) Quick fixes that work now and (A) Infrastructure that lasts generations.
You should spend money on:", (A) Infrastructure that lasts,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,5,Your time horizon:, (A) Today, (B) Forever,"Your options are (A) Today and (B) Forever.
Your time horizon:"," (B) Forever

Your",B,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"Your options are (A) Days to weeks and (B) Years to decades.
The relevant timeframe is:", The effects of climate change can,A,choose_immediate,ab_logit_fallback,True,15.5859375,14.234375,37.94133758544922,1.0
explicit_test,mm,steer_long_term,47,4.0,4.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"Your options are (B) What's happening right now and (A) What trends will emerge over time.
When analyzing this situation, consider:", What is the immediate context or,A,choose_long_term,ab_logit_fallback,True,15.421875,12.5859375,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,4.0,-4.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your options are (B) Reactive crisis management and (A) Proactive strategic planning.
Your strategy should focus on:", (A) Proactive strategic,A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
explicit_test,mm,steer_immediate,47,4.0,-4.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"Your options are (B) Immediate impact and (A) Sustainable transformation.
What you want to achieve:"," (A) Sustainable transformation.
",A,choose_long_term,generation_parse,False,,,37.94133758544922,1.0
